selector,r_val,r_eval,outer,selected_model,oracle_model_at_eval,selected_test_sr_at_eval,oracle_test_sr_at_eval,regret,oracle_match
clean,0.025,0.0,18,HistGB,HistGB,12.72431903276434,12.72431903276434,0.0,1
clean,0.025,0.0,19,HistGB,HistGB,12.38932481964971,12.38932481964971,0.0,1
clean,0.025,0.0,20,HistGB,HistGB,13.18137194824744,13.18137194824744,0.0,1
clean,0.025,0.0,21,HistGB,HistGB,13.996657000066351,13.996657000066351,0.0,1
clean,0.025,0.0,22,HistGB,HistGB,13.811627922541728,13.811627922541728,0.0,1
clean,0.025,0.0,23,HistGB,HistGB,13.32873782866024,13.32873782866024,0.0,1
clean,0.025,0.0,24,HistGB,HistGB,13.136467261751262,13.136467261751262,0.0,1
clean,0.025,0.025,0,HistGB,HistGB,13.790624657970188,13.790624657970188,0.0,1
clean,0.025,0.025,1,HistGB,HistGB,15.569190624933023,15.569190624933023,0.0,1
clean,0.025,0.025,2,HistGB,HistGB,14.088427543524208,14.088427543524208,0.0,1
clean,0.025,0.025,3,HistGB,HistGB,14.466111791412365,14.466111791412365,0.0,1
clean,0.025,0.025,4,HistGB,HistGB,13.735054816062018,13.735054816062018,0.0,1
clean,0.025,0.025,5,HistGB,HistGB,14.867893327492942,14.867893327492942,0.0,1
clean,0.025,0.025,6,HistGB,HistGB,17.17176789089314,17.17176789089314,0.0,1
clean,0.025,0.025,7,HistGB,HistGB,13.928703035242147,13.928703035242147,0.0,1
clean,0.025,0.025,8,HistGB,HistGB,14.035703406909802,14.035703406909802,0.0,1
clean,0.025,0.025,9,HistGB,HistGB,14.77125823960297,14.77125823960297,0.0,1
clean,0.025,0.025,10,HistGB,HistGB,14.180458644223837,14.180458644223837,0.0,1
clean,0.025,0.025,11,HistGB,HistGB,13.50742579877159,13.50742579877159,0.0,1
clean,0.025,0.025,12,HistGB,HistGB,13.758001907403685,13.758001907403685,0.0,1
clean,0.025,0.025,13,HistGB,HistGB,14.626656518553975,14.626656518553975,0.0,1
clean,0.025,0.025,14,HistGB,HistGB,14.533640708116964,14.533640708116964,0.0,1
clean,0.025,0.025,15,HistGB,HistGB,14.46272762558578,14.46272762558578,0.0,1
clean,0.025,0.025,16,HistGB,HistGB,15.171306018649071,15.171306018649071,0.0,1
clean,0.025,0.025,17,HistGB,HistGB,16.52161216946523,16.52161216946523,0.0,1
clean,0.025,0.025,18,HistGB,HistGB,14.780199693916028,14.780199693916028,0.0,1
clean,0.025,0.025,19,HistGB,HistGB,14.493836285631524,14.493836285631524,0.0,1
clean,0.025,0.025,20,HistGB,HistGB,15.368108126940594,15.368108126940594,0.0,1
clean,0.025,0.025,21,HistGB,HistGB,16.055770073743247,16.055770073743247,0.0,1
clean,0.025,0.025,22,HistGB,HistGB,15.713546741354476,15.713546741354476,0.0,1
clean,0.025,0.025,23,HistGB,HistGB,15.55503612142687,15.55503612142687,0.0,1
clean,0.025,0.025,24,HistGB,HistGB,15.081413399945886,15.081413399945886,0.0,1
clean,0.025,0.1,0,HistGB,HistGB,16.06918849714951,16.06918849714951,0.0,1
clean,0.025,0.1,1,HistGB,HistGB,17.715227486371926,17.715227486371926,0.0,1
clean,0.025,0.1,2,HistGB,HistGB,16.59812152428756,16.59812152428756,0.0,1
clean,0.025,0.1,3,HistGB,HistGB,16.681998568610286,16.681998568610286,0.0,1
clean,0.025,0.1,4,HistGB,HistGB,16.108514635915505,16.108514635915505,0.0,1
clean,0.025,0.1,5,HistGB,HistGB,17.268672823209283,17.268672823209283,0.0,1
clean,0.025,0.1,6,HistGB,HistGB,19.40432003734352,19.40432003734352,0.0,1
clean,0.025,0.1,7,HistGB,HistGB,16.082236395832705,16.082236395832705,0.0,1
clean,0.025,0.1,8,HistGB,HistGB,16.407129732211875,16.407129732211875,0.0,1
clean,0.025,0.1,9,HistGB,HistGB,17.16320210267766,17.16320210267766,0.0,1
clean,0.025,0.1,10,HistGB,HistGB,16.50268958110556,16.50268958110556,0.0,1
clean,0.025,0.1,11,HistGB,HistGB,15.964533676765804,15.964533676765804,0.0,1
clean,0.025,0.1,12,HistGB,HistGB,15.955340858425544,15.955340858425544,0.0,1
clean,0.025,0.1,13,HistGB,HistGB,16.931967619416174,16.931967619416174,0.0,1
clean,0.025,0.1,14,HistGB,HistGB,16.92890955586985,16.92890955586985,0.0,1
clean,0.025,0.1,15,HistGB,HistGB,16.861669366598026,16.861669366598026,0.0,1
clean,0.025,0.1,16,HistGB,HistGB,17.657517204616237,17.657517204616237,0.0,1
clean,0.025,0.1,17,HistGB,HistGB,18.682009768699448,18.682009768699448,0.0,1
clean,0.025,0.1,18,HistGB,HistGB,17.15936754113902,17.15936754113902,0.0,1
clean,0.025,0.1,19,HistGB,HistGB,16.832397587873736,16.832397587873736,0.0,1
clean,0.025,0.1,20,HistGB,HistGB,17.57369629098549,17.57369629098549,0.0,1
clean,0.025,0.1,21,HistGB,HistGB,18.21056570240688,18.21056570240688,0.0,1
clean,0.025,0.1,22,HistGB,HistGB,17.918651632655692,17.918651632655692,0.0,1
clean,0.025,0.1,23,HistGB,HistGB,17.87434674116678,17.87434674116678,0.0,1
clean,0.025,0.1,24,HistGB,HistGB,17.41484728033265,17.41484728033265,0.0,1
clean,0.025,0.15,0,HistGB,HistGB,17.541973445772758,17.541973445772758,0.0,1
clean,0.025,0.15,1,HistGB,HistGB,19.010878031887327,19.010878031887327,0.0,1
clean,0.025,0.15,2,HistGB,HistGB,17.80100779364431,17.80100779364431,0.0,1
clean,0.025,0.15,3,HistGB,HistGB,18.01452453786513,18.01452453786513,0.0,1
clean,0.025,0.15,4,HistGB,HistGB,17.437948123990314,17.437948123990314,0.0,1
clean,0.025,0.15,5,HistGB,HistGB,18.58285094234233,18.58285094234233,0.0,1
clean,0.025,0.15,6,HistGB,KNN,20.66574103016756,20.55617663708099,0.1095643930865684,0
clean,0.025,0.15,7,HistGB,HistGB,17.529586892481948,17.529586892481948,0.0,1
clean,0.025,0.15,8,HistGB,HistGB,17.8122895281797,17.8122895281797,0.0,1
clean,0.025,0.15,9,HistGB,HistGB,18.495670339370204,18.495670339370204,0.0,1
clean,0.025,0.15,10,HistGB,RandomForest,17.97117283362848,17.920692448422127,0.05048038520635245,0
clean,0.025,0.15,11,HistGB,RandomForest,17.484846230170547,17.41666006093395,0.06818616923659704,0
clean,0.025,0.15,12,HistGB,HistGB,17.466672392177024,17.466672392177024,0.0,1
clean,0.025,0.15,13,HistGB,HistGB,18.257215445819707,18.257215445819707,0.0,1
clean,0.025,0.15,14,HistGB,HistGB,18.137408455216548,18.137408455216548,0.0,1
clean,0.025,0.15,15,HistGB,HistGB,18.107544438260927,18.107544438260927,0.0,1
clean,0.025,0.15,16,HistGB,HistGB,18.78614046980045,18.78614046980045,0.0,1
clean,0.025,0.15,17,HistGB,HistGB,20.041240568377912,20.041240568377912,0.0,1
clean,0.025,0.15,18,HistGB,HistGB,18.367784803289087,18.367784803289087,0.0,1
clean,0.025,0.15,19,HistGB,HistGB,18.104123699192264,18.104123699192264,0.0,1
clean,0.025,0.15,20,HistGB,HistGB,18.801855062804623,18.801855062804623,0.0,1
clean,0.025,0.15,21,HistGB,HistGB,19.59619733176809,19.59619733176809,0.0,1
clean,0.025,0.15,22,HistGB,HistGB,19.298586066791096,19.298586066791096,0.0,1
clean,0.025,0.15,23,HistGB,HistGB,19.173574821481136,19.173574821481136,0.0,1
clean,0.025,0.15,24,HistGB,HistGB,18.65781447093841,18.65781447093841,0.0,1
clean,0.025,0.19,0,HistGB,HistGB,18.928739010266547,18.928739010266547,0.0,1
clean,0.025,0.19,1,HistGB,HistGB,20.143835873105846,20.143835873105846,0.0,1
clean,0.025,0.19,2,HistGB,RandomForest,19.26838422455713,19.25223313590072,0.016151088656410906,0
clean,0.025,0.19,3,HistGB,HistGB,19.443279896968026,19.443279896968026,0.0,1
clean,0.025,0.19,4,HistGB,HistGB,18.91392220590144,18.91392220590144,0.0,1
clean,0.025,0.19,5,HistGB,HistGB,19.95917516081851,19.95917516081851,0.0,1
clean,0.025,0.19,6,HistGB,KNN,21.81613605324205,21.221317844771534,0.5948182084705174,0
clean,0.025,0.19,7,HistGB,HistGB,18.7343657051764,18.7343657051764,0.0,1
clean,0.025,0.19,8,HistGB,HistGB,19.090144255140743,19.090144255140743,0.0,1
clean,0.025,0.19,9,HistGB,HistGB,19.75986807523372,19.75986807523372,0.0,1
clean,0.025,0.19,10,HistGB,RandomForest,19.228897842651488,19.11294703331267,0.11595080933881974,0
clean,0.025,0.19,11,HistGB,HistGB,18.667847445401883,18.667847445401883,0.0,1
clean,0.025,0.19,12,HistGB,HistGB,18.74800249831791,18.74800249831791,0.0,1
clean,0.025,0.19,13,HistGB,HistGB,19.487413662156857,19.487413662156857,0.0,1
clean,0.025,0.19,14,HistGB,HistGB,19.805729525276647,19.805729525276647,0.0,1
clean,0.025,0.19,15,HistGB,HistGB,19.53354628711148,19.53354628711148,0.0,1
clean,0.025,0.19,16,HistGB,HistGB,20.42138389973512,20.42138389973512,0.0,1
clean,0.025,0.19,17,HistGB,HistGB,21.336585653266862,21.336585653266862,0.0,1
clean,0.025,0.19,18,HistGB,HistGB,19.63875503262111,19.63875503262111,0.0,1
clean,0.025,0.19,19,HistGB,HistGB,19.237587544515986,19.237587544515986,0.0,1
clean,0.025,0.19,20,HistGB,HistGB,19.92591817042073,19.92591817042073,0.0,1
clean,0.025,0.19,21,HistGB,HistGB,21.007827210990577,21.007827210990577,0.0,1
clean,0.025,0.19,22,HistGB,HistGB,20.67660900892144,20.67660900892144,0.0,1
clean,0.025,0.19,23,HistGB,RandomForest,20.6083352155968,20.554130699292205,0.05420451630459411,0
clean,0.025,0.19,24,HistGB,HistGB,19.83663934120755,19.83663934120755,0.0,1
clean,0.025,0.2,0,HistGB,HistGB,19.31695977824297,19.31695977824297,0.0,1
clean,0.025,0.2,1,HistGB,HistGB,20.633704058890523,20.633704058890523,0.0,1
clean,0.025,0.2,2,HistGB,RandomForest,19.60198171985055,19.530966200000307,0.07101551985024201,0
clean,0.025,0.2,3,HistGB,HistGB,19.40246723251745,19.40246723251745,0.0,1
clean,0.025,0.2,4,HistGB,HistGB,19.19879919002628,19.19879919002628,0.0,1
clean,0.025,0.2,5,HistGB,HistGB,20.309646525902178,20.309646525902178,0.0,1
clean,0.025,0.2,6,HistGB,KNN,22.22715469741236,21.45106211319845,0.7760925842139095,0
clean,0.025,0.2,7,HistGB,KNN,19.087134768957217,18.91466158420148,0.17247318475573792,0
clean,0.025,0.2,8,HistGB,HistGB,19.353522301384245,19.353522301384245,0.0,1
clean,0.025,0.2,9,HistGB,HistGB,20.244280483753503,20.244280483753503,0.0,1
clean,0.025,0.2,10,HistGB,RandomForest,19.482679894775195,19.397262692891125,0.08541720188406998,0
clean,0.025,0.2,11,HistGB,HistGB,18.81764877008533,18.81764877008533,0.0,1
clean,0.025,0.2,12,HistGB,HistGB,19.156116543683805,19.156116543683805,0.0,1
clean,0.025,0.2,13,HistGB,HistGB,20.01349433745357,20.01349433745357,0.0,1
clean,0.025,0.2,14,HistGB,HistGB,20.033455238923583,20.033455238923583,0.0,1
clean,0.025,0.2,15,HistGB,KNN,19.86983031134916,19.770319702527317,0.09951060882184137,0
clean,0.025,0.2,16,HistGB,HistGB,20.56981023209017,20.56981023209017,0.0,1
clean,0.025,0.2,17,HistGB,KNN,21.90020836235615,21.8467341910282,0.05347417132794874,0
clean,0.025,0.2,18,HistGB,KNN,20.13102128441388,20.099350238418523,0.031671045995356195,0
clean,0.025,0.2,19,HistGB,HistGB,19.59435135708357,19.59435135708357,0.0,1
clean,0.025,0.2,20,HistGB,HistGB,20.38206963513907,20.38206963513907,0.0,1
clean,0.025,0.2,21,HistGB,HistGB,21.186528023649814,21.186528023649814,0.0,1
clean,0.025,0.2,22,HistGB,HistGB,20.970762127732502,20.970762127732502,0.0,1
clean,0.025,0.2,23,HistGB,HistGB,20.731601966614555,20.731601966614555,0.0,1
clean,0.025,0.2,24,HistGB,HistGB,20.04810559903347,20.04810559903347,0.0,1
clean,0.025,0.21,0,HistGB,KNN,19.712347729890087,19.62070076050922,0.09164696938086792,0
clean,0.025,0.21,1,HistGB,HistGB,20.883479751389164,20.883479751389164,0.0,1
clean,0.025,0.21,2,HistGB,RandomForest,19.80436562213185,19.776411638303763,0.02795398382808756,0
clean,0.025,0.21,3,HistGB,HistGB,19.79962845112105,19.79962845112105,0.0,1
clean,0.025,0.21,4,HistGB,HistGB,19.524084711512717,19.524084711512717,0.0,1
clean,0.025,0.21,5,HistGB,HistGB,20.691741037075957,20.691741037075957,0.0,1
clean,0.025,0.21,6,HistGB,KNN,22.638128623682924,21.735449205266427,0.902679418416497,0
clean,0.025,0.21,7,HistGB,KNN,19.563223774521383,19.129134412148225,0.43408936237315743,0
clean,0.025,0.21,8,HistGB,KNN,19.949149133827166,19.754159286311616,0.1949898475155507,0
clean,0.025,0.21,9,HistGB,HistGB,20.53946391412387,20.53946391412387,0.0,1
clean,0.025,0.21,10,HistGB,RandomForest,19.791512389893278,19.766638000384397,0.024874389508880768,0
clean,0.025,0.21,11,HistGB,HistGB,19.12476153385831,19.12476153385831,0.0,1
clean,0.025,0.21,12,HistGB,HistGB,19.62285011346803,19.62285011346803,0.0,1
clean,0.025,0.21,13,HistGB,HistGB,20.1912750022628,20.1912750022628,0.0,1
clean,0.025,0.21,14,HistGB,HistGB,20.17871752830445,20.17871752830445,0.0,1
clean,0.025,0.21,15,HistGB,KNN,20.35635435076348,20.008689836811453,0.3476645139520258,0
clean,0.025,0.21,16,HistGB,RandomForest,20.844016484607646,20.833181161887754,0.010835322719891849,0
clean,0.025,0.21,17,HistGB,KNN,22.20143236502758,21.9739723674224,0.22745999760517677,0
clean,0.025,0.21,18,HistGB,KNN,20.435337004508213,20.18731917985644,0.2480178246517717,0
clean,0.025,0.21,19,HistGB,HistGB,19.97509701714303,19.97509701714303,0.0,1
clean,0.025,0.21,20,HistGB,HistGB,20.63839378129152,20.63839378129152,0.0,1
clean,0.025,0.21,21,HistGB,HistGB,21.40956894525845,21.40956894525845,0.0,1
clean,0.025,0.21,22,HistGB,KNN,21.279054027647227,21.24068021908822,0.03837380855900818,0
clean,0.025,0.21,23,HistGB,HistGB,21.073886705689358,21.073886705689358,0.0,1
clean,0.025,0.21,24,HistGB,HistGB,20.58508699071329,20.58508699071329,0.0,1
clean,0.025,0.24,0,HistGB,KNN,20.982521657856744,20.33664056590208,0.6458810919546636,0
clean,0.025,0.24,1,HistGB,KNN,22.064357590263988,21.92280236504782,0.1415552252161696,0
clean,0.025,0.24,2,HistGB,KNN,20.79592375371037,20.741214770005676,0.05470898370469257,0
clean,0.025,0.24,3,HistGB,KNN,20.84463885093164,20.4321294687124,0.41250938221924116,0
clean,0.025,0.24,4,HistGB,HistGB,20.575640835804094,20.575640835804094,0.0,1
clean,0.025,0.24,5,HistGB,KNN,21.85542178703425,21.582918404859733,0.2725033821745164,0
clean,0.025,0.24,6,HistGB,KNN,24.16724330250814,22.650935540068332,1.5163077624398085,0
clean,0.025,0.24,7,HistGB,KNN,20.526325030059937,19.87952199459999,0.6468030354599463,0
clean,0.025,0.24,8,HistGB,KNN,21.085049356636727,20.522281621260348,0.5627677353763794,0
clean,0.025,0.24,9,HistGB,HistGB,21.50120439198769,21.50120439198769,0.0,1
clean,0.025,0.24,10,HistGB,HistGB,20.799187355071187,20.799187355071187,0.0,1
clean,0.025,0.24,11,HistGB,RandomForest,20.46050823698773,20.371659546986443,0.08884869000128859,0
clean,0.025,0.24,12,HistGB,KNN,20.42873796577705,20.153818096825816,0.2749198689512333,0
clean,0.025,0.24,13,HistGB,HistGB,21.2669017233842,21.2669017233842,0.0,1
clean,0.025,0.24,14,HistGB,KNN,21.462084175510437,21.3226337532928,0.1394504222176387,0
clean,0.025,0.24,15,HistGB,KNN,21.109553749660595,20.52767563958444,0.5818781100761541,0
clean,0.025,0.24,16,HistGB,KNN,22.00953698747326,21.60327312063129,0.4062638668419716,0
clean,0.025,0.24,17,HistGB,KNN,23.25946017164457,22.6236646265378,0.6357955451067703,0
clean,0.025,0.24,18,HistGB,KNN,21.322163342513168,20.865332927318907,0.45683041519426126,0
clean,0.025,0.24,19,HistGB,KNN,20.93072529938225,20.611027408455104,0.31969789092714507,0
clean,0.025,0.24,20,HistGB,KNN,21.74925183304476,21.538000917902348,0.21125091514241134,0
clean,0.025,0.24,21,HistGB,KNN,22.651067969927944,22.618736893558317,0.03233107636962629,0
clean,0.025,0.24,22,HistGB,KNN,22.46146878945244,22.050215114306518,0.4112536751459217,0
clean,0.025,0.24,23,HistGB,KNN,22.339223359037533,22.08033187991192,0.2588914791256123,0
clean,0.025,0.24,24,HistGB,HistGB,21.588328318789458,21.588328318789458,0.0,1
clean,0.025,0.32,0,HistGB,KNN,24.12467046999476,22.3410975641612,1.7835729058335623,0
clean,0.025,0.32,1,HistGB,KNN,25.77070627354392,24.167646892408506,1.603059381135413,0
clean,0.025,0.32,2,HistGB,KNN,24.59572377329288,23.22830694722482,1.3674168260680624,0
clean,0.025,0.32,3,HistGB,KNN,24.09274391415105,22.651724084282822,1.4410198298682282,0
clean,0.025,0.32,4,HistGB,KNN,23.90705141032773,22.899209031890777,1.0078423784369512,0
clean,0.025,0.32,5,HistGB,KNN,25.212724593070813,23.74077037955543,1.4719542135153851,0
clean,0.025,0.32,6,HistGB,KNN,27.269805798524292,24.58426841601279,2.6855373825115016,0
clean,0.025,0.32,7,HistGB,KNN,23.968635975943368,21.897619039501325,2.0710169364420423,0
clean,0.025,0.32,8,HistGB,KNN,24.47320734454739,22.56198727539633,1.9112200691510601,0
clean,0.025,0.32,9,HistGB,KNN,24.803594090704078,23.726477980773108,1.0771161099309694,0
clean,0.025,0.32,10,HistGB,KNN,24.47934381390138,23.392268978535643,1.087074835365737,0
clean,0.025,0.32,11,HistGB,KNN,23.72661797910468,22.911206803547127,0.8154111755575535,0
clean,0.025,0.32,12,HistGB,KNN,24.111346473464494,22.468416540666528,1.6429299327979656,0
clean,0.025,0.32,13,HistGB,KNN,24.99542252363374,23.978926219057577,1.0164963045761617,0
clean,0.025,0.32,14,HistGB,KNN,24.742605611228107,23.408361493293267,1.3342441179348405,0
clean,0.025,0.32,15,HistGB,KNN,24.416176662644283,22.5382140343824,1.8779626282618835,0
clean,0.025,0.32,16,HistGB,KNN,25.54446516039962,23.889956814327707,1.654508346071914,0
clean,0.025,0.32,17,HistGB,KNN,26.4958612951784,24.784073695291784,1.711787599886616,0
clean,0.025,0.32,18,HistGB,KNN,24.88464519023908,23.16494399329765,1.719701196941429,0
clean,0.025,0.32,19,HistGB,KNN,24.573643527987716,22.967426539513063,1.606216988474653,0
clean,0.025,0.32,20,HistGB,KNN,25.04910344930528,23.79135534710681,1.257748102198473,0
clean,0.025,0.32,21,HistGB,KNN,26.31016837981644,24.97102970206068,1.3391386777557592,0
clean,0.025,0.32,22,HistGB,KNN,26.098178562014315,24.39051221352639,1.7076663484879262,0
clean,0.025,0.32,23,HistGB,KNN,25.557866068906574,24.187060837810005,1.3708052310965684,0
clean,0.025,0.32,24,HistGB,KNN,25.003697301266914,24.039705867231064,0.9639914340358509,0
clean,0.025,0.4,0,HistGB,KNN,28.049609361827816,25.10814862318806,2.941460738639755,0
clean,0.025,0.4,1,HistGB,KNN,29.31611875614641,26.672735103263133,2.6433836528832764,0
clean,0.025,0.4,2,HistGB,KNN,28.384727103233185,25.81692397000759,2.5678031332255955,0
clean,0.025,0.4,3,HistGB,KNN,28.010289959071308,25.423661872844157,2.586628086227151,0
clean,0.025,0.4,4,HistGB,KNN,28.31516006865912,25.844904882373577,2.470255186285545,0
clean,0.025,0.4,5,HistGB,KNN,29.138612727054603,26.34733170986748,2.7912810171871243,0
clean,0.025,0.4,6,HistGB,KNN,31.47206094214324,27.471419439501894,4.000641502641347,0
clean,0.025,0.4,7,HistGB,KNN,27.888774713460062,24.65403390525961,3.2347408082004527,0
clean,0.025,0.4,8,HistGB,KNN,28.11039177616971,25.132597624958056,2.977794151211654,0
clean,0.025,0.4,9,HistGB,KNN,29.266611766794703,26.551948517294797,2.714663249499907,0
clean,0.025,0.4,10,HistGB,KNN,27.891574895247988,25.81186367292943,2.079711222318558,0
clean,0.025,0.4,11,HistGB,KNN,27.79176127114822,25.676760069446004,2.115001201702217,0
clean,0.025,0.4,12,HistGB,KNN,28.33763090957668,25.233865931244623,3.103764978332059,0
clean,0.025,0.4,13,HistGB,KNN,28.798902297381467,26.54460857267338,2.254293724708088,0
clean,0.025,0.4,14,HistGB,KNN,29.211910296743884,26.522075989221285,2.6898343075225988,0
clean,0.025,0.4,15,HistGB,KNN,28.65193876540236,25.34232298472043,3.3096157806819306,0
clean,0.025,0.4,16,HistGB,KNN,30.078513900930812,26.84998999315152,3.228523907779291,0
clean,0.025,0.4,17,HistGB,KNN,30.5095007137395,27.506923656523504,3.002577057215994,0
clean,0.025,0.4,18,HistGB,KNN,28.915144639978127,25.751301404565957,3.1638432354121697,0
clean,0.025,0.4,19,HistGB,KNN,28.586058710871352,25.36051788480377,3.225540826067583,0
clean,0.025,0.4,20,HistGB,KNN,28.90296152191095,26.323880275010467,2.5790812469004827,0
clean,0.025,0.4,21,HistGB,KNN,30.33042188933338,27.56509882832943,2.7653230610039508,0
clean,0.025,0.4,22,HistGB,KNN,30.205591444939312,26.97384541341878,3.231746031520533,0
clean,0.025,0.4,23,HistGB,KNN,29.56692175934774,26.81887054429276,2.7480512150549785,0
clean,0.025,0.4,24,HistGB,KNN,29.05916420698302,26.826243061722764,2.2329211452602564,0
clean,0.025,0.5,0,HistGB,KNN,34.3356818953042,29.36104864314475,4.97463325215945,0
clean,0.025,0.5,1,HistGB,KNN,35.45798108963929,30.78564658343057,4.6723345062087205,0
clean,0.025,0.5,2,HistGB,KNN,34.576328258809134,30.042510211973912,4.533818046835222,0
clean,0.025,0.5,3,HistGB,KNN,34.792656147750726,29.873883258001964,4.918772889748762,0
clean,0.025,0.5,4,HistGB,KNN,34.238497999689834,29.807820739177387,4.4306772605124465,0
clean,0.025,0.5,5,HistGB,KNN,35.27559090791475,30.71450700402392,4.561083903890829,0
clean,0.025,0.5,6,HistGB,KNN,37.69306887075829,31.49381187242601,6.199256998332277,0
clean,0.025,0.5,7,HistGB,KNN,33.714303799759946,28.83981311651348,4.874490683246467,0
clean,0.025,0.5,8,HistGB,KNN,34.41627098104753,29.623591813472316,4.792679167575216,0
clean,0.025,0.5,9,HistGB,KNN,34.73783599713518,30.300257701423387,4.437578295711791,0
clean,0.025,0.5,10,HistGB,KNN,33.910208514081305,29.824404136662483,4.085804377418821,0
clean,0.025,0.5,11,HistGB,KNN,33.62775139723734,29.60491639036404,4.022835006873301,0
clean,0.025,0.5,12,HistGB,KNN,34.021207929695294,29.14937495424439,4.8718329754509035,0
clean,0.025,0.5,13,HistGB,KNN,34.977502260566304,30.73761449320112,4.2398877673651825,0
clean,0.025,0.5,14,HistGB,KNN,34.802166158897485,30.22898594801385,4.573180210883635,0
clean,0.025,0.5,15,HistGB,KNN,34.57634793205066,29.482012823758883,5.0943351082917765,0
clean,0.025,0.5,16,HistGB,KNN,35.87939472326243,31.00229592672065,4.87709879654178,0
clean,0.025,0.5,17,HistGB,KNN,36.963845356749495,32.00073805865598,4.963107298093512,0
clean,0.025,0.5,18,HistGB,KNN,34.50305373795179,29.334123989500338,5.1689297484514505,0
clean,0.025,0.5,19,HistGB,KNN,34.60327848170751,29.727904717251747,4.875373764455766,0
clean,0.025,0.5,20,HistGB,KNN,34.325370645190155,30.386612943510592,3.938757701679563,0
clean,0.025,0.5,21,HistGB,KNN,36.63164043905123,32.05521614959351,4.576424289457719,0
clean,0.025,0.5,22,HistGB,KNN,36.0951832132667,30.834582638855917,5.260600574410784,0
clean,0.025,0.5,23,HistGB,KNN,35.70825739251677,31.138388285827343,4.569869106689428,0
clean,0.025,0.5,24,HistGB,KNN,34.82354914689996,30.66380562129224,4.159743525607716,0
clean,0.05,0.0,0,HistGB,HistGB,11.76015510447522,11.76015510447522,0.0,1
clean,0.05,0.0,1,HistGB,HistGB,13.73168860179165,13.73168860179165,0.0,1
clean,0.05,0.0,2,HistGB,HistGB,12.03246102203424,12.03246102203424,0.0,1
clean,0.05,0.0,3,HistGB,HistGB,12.507296971676508,12.507296971676508,0.0,1
clean,0.05,0.0,4,HistGB,HistGB,11.663767967150225,11.663767967150225,0.0,1
clean,0.05,0.0,5,HistGB,HistGB,12.788000461342667,12.788000461342667,0.0,1
